OBJECTID,Identifier,OccurrenceDate,DayofWeek,OccurrenceMonth,,OccurrenceDay,OccurrenceYear,OccurrenceHour,CompStatMonth,,CompStatDay,CompStatYear,Start Date,End Date,Date gap,Offense,OffenseClassification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Latitude,Longitude
552,2.02E+14,1/16/2015 18:00,Friday,Jan,1,16,2015,1800,Feb,2,13,2015,1/16/2015,2/13/2015,28,RAPE,FELONY,D,48,Bronx,NYPD,1011779,246746,40.84390126,-73.90050463
553,2.02E+14,1/17/2015 1:30,Saturday,Jan,1,17,2015,100,Jan,1,17,2015,1/17/2015,1/17/2015,0,RAPE,FELONY,F,46,Bronx,NYPD,1011881,250411,40.85396027,-73.90012088
554,2.02E+14,1/17/2015 1:30,Saturday,Jan,1,17,2015,100,Jan,1,24,2015,1/17/2015,1/24/2015,7,RAPE,FELONY,B,121,Staten Island,NYPD,942428,166536,40.62368882,-74.15065813
555,2.02E+14,1/17/2015 12:00,Saturday,Jan,1,17,2015,1200,Jan,1,18,2015,1/17/2015,1/18/2015,1,RAPE,FELONY,E,120,Staten Island,NYPD,962748,174174,40.64472613,-74.07748316
556,2.02E+14,1/17/2015 16:00,Saturday,Jan,1,17,2015,1600,Jan,1,18,2015,1/17/2015,1/18/2015,1,RAPE,FELONY,N,75,Brooklyn,NYPD,1017141,183798,40.67110691,-73.88143296
557,2.02E+14,1/17/2015 21:15,Saturday,Jan,1,17,2015,2100,Jan,1,18,2015,1/17/2015,1/18/2015,1,RAPE,FELONY,E,50,Bronx,NYPD-HOUSING BUREAU,1011257,261130,40.88338258,-73.90233331
558,2.02E+14,1/18/2015 1:40,Sunday,Jan,1,18,2015,100,Jan,1,18,2015,1/18/2015,1/18/2015,0,RAPE,FELONY,D,46,Bronx,NYPD,1011881,250411,40.85396027,-73.90012088
559,2.02E+14,1/18/2015 5:00,Sunday,Jan,1,18,2015,500,Jan,1,18,2015,1/18/2015,1/18/2015,0,RAPE,FELONY,B,113,Queens,NYPD,1046367,186986,40.67970041,-73.77604737
560,2.02E+14,1/18/2015 20:00,Sunday,Jan,1,18,2015,2000,Jun,6,19,2015,1/18/2015,6/19/2015,152,RAPE,FELONY,K,77,Brooklyn,NYPD,1003606,185050,40.67458331,-73.93022154
561,2.02E+14,1/18/2015 23:30,Sunday,Jan,1,18,2015,2300,Jan,1,20,2015,1/18/2015,1/20/2015,2,RAPE,FELONY,D,79,Brooklyn,NYPD,999634,190253,40.68887215,-73.94452903
562,2.02E+14,1/19/2015 17:00,Monday,Jan,1,19,2015,1700,Apr,4,5,2015,1/19/2015,4/5/2015,76,RAPE,FELONY,G,52,Bronx,NYPD,1017542,255919,40.86905853,-73.87963015
563,2.02E+14,1/20/2015 1:10,Tuesday,Jan,1,20,2015,100,Jan,1,30,2015,1/20/2015,1/30/2015,10,RAPE,FELONY,G,75,Brooklyn,NYPD,1017141,183798,40.67110691,-73.88143296
564,2.02E+14,1/20/2015 21:00,Tuesday,Jan,1,20,2015,2100,Jun,6,9,2015,1/20/2015,6/9/2015,140,RAPE,FELONY,B,81,Brooklyn,NYPD-HOUSING BUREAU,1005218,190528,40.6896155,-73.92439311
565,2.02E+14,1/21/2015 8:15,Wednesday,Jan,1,21,2015,800,Jan,1,21,2015,1/21/2015,1/21/2015,0,RAPE,FELONY,C,79,Brooklyn,NYPD,999634,190253,40.68887215,-73.94452903
566,2.02E+14,1/22/2015 0:01,Thursday,Jan,1,22,2015,0,Jan,1,23,2015,1/22/2015,1/23/2015,1,RAPE,FELONY,F,10,Manhattan,NYPD,984623,209859,40.7426993,-73.99865538
567,2.02E+14,1/22/2015 11:30,Thursday,Jan,1,22,2015,1100,Jan,1,29,2015,1/22/2015,1/29/2015,7,RAPE,FELONY,G,32,Manhattan,NYPD-HOUSING BUREAU,999358,236472,40.81573205,-73.94542041
568,2.02E+14,1/23/2015 19:30,Friday,Jan,1,23,2015,1900,Jan,1,24,2015,1/23/2015,1/24/2015,1,RAPE,FELONY,C,42,Bronx,NYPD,1008798,238971,40.82256992,-73.91130717
569,2.02E+14,1/23/2015 20:00,Friday,Jan,1,23,2015,2000,Jan,1,29,2015,1/23/2015,1/29/2015,6,RAPE,FELONY,D,84,Brooklyn,NYPD-HOUSING BUREAU,989013,192652,40.69546894,-73.98282508
570,2.02E+14,1/23/2015 23:30,Friday,Jan,1,23,2015,2300,Jan,1,25,2015,1/23/2015,1/25/2015,2,RAPE,FELONY,G,50,Bronx,NYPD,1011257,261130,40.88338258,-73.90233331
571,2.02E+14,1/24/2015 2:00,Saturday,Jan,1,24,2015,200,Jan,1,24,2015,1/24/2015,1/24/2015,0,RAPE,FELONY,C,120,Staten Island,NYPD-HOUSING BUREAU,962748,174174,40.64472613,-74.07748316
572,2.02E+14,1/24/2015 3:30,Saturday,Jan,1,24,2015,300,Jan,1,24,2015,1/24/2015,1/24/2015,0,RAPE,FELONY,I,52,Bronx,NYPD,1017542,255919,40.86905853,-73.87963015
573,2.02E+14,1/24/2015 23:00,Saturday,Jan,1,24,2015,2300,Aug,8,4,2015,1/24/2015,8/4/2015,192,RAPE,FELONY,A,110,Queens,NYPD,1020255,210816,40.74525274,-73.87006287
574,2.02E+14,1/24/2015 23:45,Saturday,Jan,1,24,2015,2300,Feb,2,17,2015,1/24/2015,2/17/2015,24,RAPE,FELONY,P,67,Brooklyn,NYPD,998032,175598,40.64865009,-73.95033556
575,2.02E+14,1/25/2015 6:45,Sunday,Jan,1,25,2015,600,Jan,1,25,2015,1/25/2015,1/25/2015,0,RAPE,FELONY,F,42,Bronx,NYPD,1008798,238971,40.82256992,-73.91130717
576,2.02E+14,1/25/2015 14:00,Sunday,Jan,1,25,2015,1400,Jan,1,26,2015,1/25/2015,1/26/2015,1,RAPE,FELONY,G,43,Bronx,NYPD,1020316,239179,40.8231013,-73.86969046
577,2.02E+14,1/25/2015 19:30,Sunday,Jan,1,25,2015,1900,Jan,1,26,2015,1/25/2015,1/26/2015,1,RAPE,FELONY,G,72,Brooklyn,NYPD,983964,179071,40.65819343,-74.00103224
578,2.02E+14,1/25/2015 20:35,Sunday,Jan,1,25,2015,2000,Jan,1,26,2015,1/25/2015,1/26/2015,1,RAPE,FELONY,A,76,Brooklyn,NYPD-HOUSING BUREAU,984160,188429,40.68387906,-74.00032595
579,2.02E+14,1/26/2015 0:01,Monday,Jan,1,26,2015,0,Jan,1,26,2015,1/26/2015,1/26/2015,0,RAPE,FELONY,A,69,Brooklyn,NYPD,1010641,175525,40.64842112,-73.90489711
580,2.02E+14,1/27/2015 19:00,Tuesday,Jan,1,27,2015,1900,Feb,2,2,2015,1/27/2015,2/2/2015,6,RAPE,FELONY,H,110,Queens,NYPD,1020255,210816,40.74525274,-73.87006287
581,2.02E+14,1/28/2015 1:55,Wednesday,Jan,1,28,2015,100,Jan,1,28,2015,1/28/2015,1/28/2015,0,RAPE,FELONY,H,23,Manhattan,NYPD-HOUSING BUREAU,998730,226827,40.78926022,-73.94771
582,2.02E+14,1/28/2015 20:00,Wednesday,Jan,1,28,2015,2000,Jan,1,30,2015,1/28/2015,1/30/2015,2,RAPE,FELONY,I,104,Queens,NYPD,1013764,195875,40.70426739,-73.89355376
583,2.02E+14,1/29/2015 1:00,Thursday,Jan,1,29,2015,100,Feb,2,24,2015,1/29/2015,2/24/2015,26,RAPE,FELONY,I,6,Manhattan,NYPD,982752,206772,40.73422613,-74.00540669
584,2.02E+14,1/30/2015 4:00,Friday,Jan,1,30,2015,400,Jan,1,31,2015,1/30/2015,1/31/2015,1,RAPE,FELONY,H,108,Queens,NYPD,996793,210001,40.74308017,-73.95473646
585,2.02E+14,1/30/2015 5:10,Friday,Jan,1,30,2015,500,Jan,1,30,2015,1/30/2015,1/30/2015,0,RAPE,FELONY,H,72,Brooklyn,NYPD,983964,179071,40.65819343,-74.00103224
586,2.02E+14,2/1/2015 0:01,Sunday,Feb,2,1,2015,0,Jun,6,10,2015,2/1/2015,6/10/2015,129,RAPE,FELONY,G,42,Bronx,NYPD-HOUSING BUREAU,1008798,238971,40.82256992,-73.91130717
587,2.02E+14,2/1/2015 0:15,Sunday,Feb,2,1,2015,0,Feb,2,1,2015,2/1/2015,2/1/2015,0,RAPE,FELONY,B,30,Manhattan,NYPD,999794,241252,40.82885105,-73.94383419
588,2.02E+14,2/1/2015 3:00,Sunday,Feb,2,1,2015,300,Feb,2,1,2015,2/1/2015,2/1/2015,0,RAPE,FELONY,H,77,Brooklyn,NYPD,1003606,185050,40.67458331,-73.93022154
589,2.02E+14,2/1/2015 8:00,Sunday,Feb,2,1,2015,800,Jul,7,13,2015,2/1/2015,7/13/2015,162,RAPE,FELONY,A,9,Manhattan,NYPD-HOUSING BUREAU,987624,203977,40.72655402,-73.98782843
590,2.02E+14,2/1/2015 8:00,Sunday,Feb,2,1,2015,800,May,5,8,2015,2/1/2015,5/8/2015,96,RAPE,FELONY,I,67,Brooklyn,NYPD,998032,175598,40.64865009,-73.95033556
591,2.02E+14,2/1/2015 23:30,Sunday,Feb,2,1,2015,2300,Feb,2,2,2015,2/1/2015,2/2/2015,1,RAPE,FELONY,B,23,Manhattan,NYPD-HOUSING BUREAU,998730,226827,40.78926022,-73.94771
592,2.02E+14,2/2/2015 0:05,Monday,Feb,2,2,2015,0,Feb,2,2,2015,2/2/2015,2/2/2015,0,RAPE,FELONY,F,76,Brooklyn,NYPD,984160,188429,40.68387906,-74.00032595
593,2.02E+14,2/3/2015 8:00,Tuesday,Feb,2,3,2015,800,Feb,2,3,2015,2/3/2015,2/3/2015,0,RAPE,FELONY,H,115,Queens,NYPD,1018699,215043,40.75686098,-73.87565666
594,2.02E+14,2/3/2015 12:30,Tuesday,Feb,2,3,2015,1200,Feb,2,4,2015,2/3/2015,2/4/2015,1,RAPE,FELONY,C,108,Queens,NYPD,996793,210001,40.74308017,-73.95473646
595,2.02E+14,2/4/2015 5:00,Wednesday,Feb,2,4,2015,500,Feb,2,5,2015,2/4/2015,2/5/2015,1,RAPE,FELONY,A,9,Manhattan,NYPD,987624,203977,40.72655402,-73.98782843
596,2.02E+14,2/4/2015 8:00,Wednesday,Feb,2,4,2015,800,Feb,2,4,2015,2/4/2015,2/4/2015,0,RAPE,FELONY,J,43,Bronx,NYPD,1020316,239179,40.8231013,-73.86969046
597,2.02E+14,2/5/2015 8:00,Thursday,Feb,2,5,2015,800,Feb,2,8,2015,2/5/2015,2/8/2015,3,RAPE,FELONY,F,42,Bronx,NYPD,1008798,238971,40.82256992,-73.91130717
598,2.02E+14,2/5/2015 10:45,Thursday,Feb,2,5,2015,1000,Feb,2,5,2015,2/5/2015,2/5/2015,0,RAPE,FELONY,F,68,Brooklyn,NYPD,978016,172087,40.63902167,-74.02246352
599,2.02E+14,2/5/2015 18:00,Thursday,Feb,2,5,2015,1800,Feb,2,6,2015,2/5/2015,2/6/2015,1,RAPE,FELONY,N,67,Brooklyn,NYPD,998032,175598,40.64865009,-73.95033556
600,2.02E+14,2/7/2015 2:00,Saturday,Feb,2,7,2015,200,Feb,2,8,2015,2/7/2015,2/8/2015,1,RAPE,FELONY,D,78,Brooklyn,NYPD,991374,187228,40.68057972,-73.97431656
601,2.02E+14,2/7/2015 20:10,Saturday,Feb,2,7,2015,2000,Feb,2,8,2015,2/7/2015,2/8/2015,1,RAPE,FELONY,P,32,Manhattan,NYPD,999358,236472,40.81573205,-73.94542041
602,2.02E+14,2/8/2015 20:05,Sunday,Feb,2,8,2015,2000,Feb,2,8,2015,2/8/2015,2/8/2015,0,RAPE,FELONY,P,44,Bronx,NYPD,1006434,244344,40.83732351,-73.91983076
603,2.02E+14,2/10/2015 12:00,Tuesday,Feb,2,10,2015,1200,Feb,2,27,2015,2/10/2015,2/27/2015,17,RAPE,FELONY,D,67,Brooklyn,NYPD,998032,175598,40.64865009,-73.95033556
